"","side","start","end","duration_sec","date","startT","endT"
"134","right","2019-03-26 22:25:00.000-0400","2019-03-26 22:35:37.000-0400","637","2019-03-26","22:25:00","22:35:37"
"135","right","2019-03-27 01:20:00.000-0400","2019-03-27 01:35:00.000-0400","900","2019-03-27","01:20:00","01:35:00"
"136","left","2019-03-27 01:45:00.000-0400","2019-03-27 01:55:04.000-0400","604","2019-03-27","01:45:00","01:55:04"
"137","left","2019-03-27 04:00:00.000-0400","2019-03-27 04:15:08.000-0400","908","2019-03-27","04:00:00","04:15:08"
"138","right","2019-03-27 04:25:00.000-0400","2019-03-27 04:40:03.000-0400","903","2019-03-27","04:25:00","04:40:03"
"139","right","2019-03-27 07:51:00.000-0400","2019-03-27 08:05:57.000-0400","897","2019-03-27","07:51:00","08:05:57"
"140","left","2019-03-27 08:09:00.000-0400","2019-03-27 08:25:24.000-0400","984","2019-03-27","08:09:00","08:25:24"
"141","right","2019-03-27 09:35:00.000-0400","2019-03-27 09:50:14.000-0400","914","2019-03-27","09:35:00","09:50:14"
"142","left","2019-03-27 09:55:00.000-0400","2019-03-27 10:05:28.000-0400","628","2019-03-27","09:55:00","10:05:28"
"143","right","2019-03-27 13:20:00.000-0400","2019-03-27 13:30:41.000-0400","641","2019-03-27","13:20:00","13:30:41"
"144","left","2019-03-27 13:42:00.000-0400","2019-03-27 14:00:25.000-0400","1105","2019-03-27","13:42:00","14:00:25"
"145","right","2019-03-27 17:05:00.000-0400","2019-03-27 17:25:41.000-0400","1241","2019-03-27","17:05:00","17:25:41"
"146","left","2019-03-27 17:30:00.000-0400","2019-03-27 17:40:47.000-0400","647","2019-03-27","17:30:00","17:40:47"
"147","left","2019-03-27 20:45:00.000-0400","2019-03-27 21:00:19.000-0400","919","2019-03-27","20:45:00","21:00:19"
"148","right","2019-03-27 21:15:00.000-0400","2019-03-27 21:35:08.000-0400","1208","2019-03-27","21:15:00","21:35:08"
"149","left","2019-03-27 22:55:00.000-0400","2019-03-27 23:10:23.000-0400","923","2019-03-27","22:55:00","23:10:23"
"150","right","2019-03-27 23:25:00.000-0400","2019-03-27 23:35:27.000-0400","627","2019-03-27","23:25:00","23:35:27"
"151","right","2019-03-28 02:15:00.000-0400","2019-03-28 02:35:07.000-0400","1207","2019-03-28","02:15:00","02:35:07"
"152","left","2019-03-28 02:49:00.000-0400","2019-03-28 03:05:27.000-0400","987","2019-03-28","02:49:00","03:05:27"
"153","left","2019-03-28 05:54:00.000-0400","2019-03-28 06:10:39.000-0400","999","2019-03-28","05:54:00","06:10:39"
"154","right","2019-03-28 06:20:00.000-0400","2019-03-28 06:40:59.000-0400","1259","2019-03-28","06:20:00","06:40:59"
"155","left","2019-03-28 09:30:00.000-0400","2019-03-28 09:45:23.000-0400","923","2019-03-28","09:30:00","09:45:23"
"156","right","2019-03-28 09:59:00.000-0400","2019-03-28 10:20:34.000-0400","1294","2019-03-28","09:59:00","10:20:34"
"157","left","2019-03-28 11:02:00.000-0400","2019-03-28 11:15:48.000-0400","828","2019-03-28","11:02:00","11:15:48"
"158","right","2019-03-28 11:25:00.000-0400","2019-03-28 11:35:37.000-0400","637","2019-03-28","11:25:00","11:35:37"
"159","left","2019-03-28 13:50:00.000-0400","2019-03-28 14:05:14.000-0400","914","2019-03-28","13:50:00","14:05:14"
"160","right","2019-03-28 16:21:00.000-0400","2019-03-28 16:40:18.000-0400","1158","2019-03-28","16:21:00","16:40:18"
"161","left","2019-03-28 17:04:00.000-0400","2019-03-28 17:15:30.000-0400","690","2019-03-28","17:04:00","17:15:30"
"162","right","2019-03-28 20:15:00.000-0400","2019-03-28 20:35:24.000-0400","1224","2019-03-28","20:15:00","20:35:24"
"163","left","2019-03-28 21:10:00.000-0400","2019-03-28 21:25:44.000-0400","944","2019-03-28","21:10:00","21:25:44"
"164","right","2019-03-28 22:15:00.000-0400","2019-03-28 22:40:01.000-0400","1501","2019-03-28","22:15:00","22:40:01"
"165","left","2019-03-28 23:15:00.000-0400","2019-03-28 23:35:24.000-0400","1224","2019-03-28","23:15:00","23:35:24"
"166","right","2019-03-29 03:10:00.000-0400","2019-03-29 03:30:25.000-0400","1225","2019-03-29","03:10:00","03:30:25"
"167","left","2019-03-29 06:10:00.000-0400","2019-03-29 06:30:32.000-0400","1232","2019-03-29","06:10:00","06:30:32"
"168","right","2019-03-29 09:45:00.000-0400","2019-03-29 09:55:58.000-0400","658","2019-03-29","09:45:00","09:55:58"
"169","left","2019-03-29 10:06:00.000-0400","2019-03-29 10:15:37.000-0400","577","2019-03-29","10:06:00","10:15:37"
"170","right","2019-03-29 12:28:00.000-0400","2019-03-29 12:40:30.000-0400","750","2019-03-29","12:28:00","12:40:30"
"171","left","2019-03-29 12:43:00.000-0400","2019-03-29 12:50:47.000-0400","467","2019-03-29","12:43:00","12:50:47"
"172","left","2019-03-29 13:40:00.000-0400","2019-03-29 13:50:33.000-0400","633","2019-03-29","13:40:00","13:50:33"
"173","right","2019-03-29 14:30:00.000-0400","2019-03-29 14:35:17.000-0400","317","2019-03-29","14:30:00","14:35:17"
"174","right","2019-03-29 16:20:00.000-0400","2019-03-29 16:40:41.000-0400","1241","2019-03-29","16:20:00","16:40:41"
"175","left","2019-03-29 17:00:00.000-0400","2019-03-29 17:15:36.000-0400","936","2019-03-29","17:00:00","17:15:36"
"176","left","2019-03-29 20:25:00.000-0400","2019-03-29 20:40:06.000-0400","906","2019-03-29","20:25:00","20:40:06"
"177","right","2019-03-29 22:23:00.000-0400","2019-03-29 22:50:19.000-0400","1639","2019-03-29","22:23:00","22:50:19"
"178","left","2019-03-29 23:20:00.000-0400","2019-03-29 23:35:23.000-0400","923","2019-03-29","23:20:00","23:35:23"
"179","right","2019-03-30 01:49:00.000-0400","2019-03-30 02:00:27.000-0400","687","2019-03-30","01:49:00","02:00:27"
"180","left","2019-03-30 02:20:00.000-0400","2019-03-30 02:35:15.000-0400","915","2019-03-30","02:20:00","02:35:15"
"181","right","2019-03-30 05:44:00.000-0400","2019-03-30 05:55:03.000-0400","663","2019-03-30","05:44:00","05:55:03"
"182","left","2019-03-30 05:59:00.000-0400","2019-03-30 06:10:36.000-0400","696","2019-03-30","05:59:00","06:10:36"
"183","right","2019-03-30 06:29:00.000-0400","2019-03-30 06:35:24.000-0400","384","2019-03-30","06:29:00","06:35:24"
